[2025-12-10 23:40:57,398][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe5, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,398][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,398][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe5, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,400][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe6, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,400][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,401][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe6, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,401][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe7, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,401][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,401][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe7, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,401][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe8, 2) PIECE (stack, 0xffffffffffffffe9, 1) , (stack, 0xffffffffffffffe8, 1)
[2025-12-10 23:40:57,401][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe8, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,401][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,403][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe8, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,403][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe9, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,404][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,404][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe9, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,404][INFO    ][ghost.trace_var_usage] Processing pcode op: (register, 0x2c, 4) PTRSUB (register, 0x54, 4) , (const, 0xffffffe0, 4)
[2025-12-10 23:40:57,405][INFO    ][ghost.trace_var_usage] Processing pcode op:  ---  CALL (ram, 0x10328, 8) , (register, 0x2c, 4) , (register, 0x2c, 4)
[2025-12-10 23:40:57,405][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe0, 4) INDIRECT (stack, 0xffffffffffffffe0, 4) , (const, 0x8c, 4)
[2025-12-10 23:40:57,405][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe4, 4) INDIRECT (stack, 0xffffffffffffffe4, 4) , (const, 0x8c, 4)
